frame_idx,t_frame_io,t_depth_copy,t_depth_inference,t_speed_preprocess,t_speed_raft_inference,t_speed_flow_grid,t_speed_3d_projection,t_speed_filter,t_speed_total,t_kalman_filter,t_vis_io,t_total_frame
1,0.0074481964111328125,0.0003807544708251953,0.22467994689941406,0.05605125427246094,0.06711387634277344,0.0014641284942626953,6.890296936035156e-05,0.0002269744873046875,0.12492752075195312,8.296966552734375e-05,0.0017154216766357422,0.13505291938781738
2,0.006448507308959961,0.00023627281188964844,0.22467994689941406,0.025372982025146484,0.0156404972076416,0.0011134147644042969,5.5789947509765625e-05,0.00016999244689941406,0.04235386848449707,5.555152893066406e-05,0.0013980865478515625,0.050688743591308594
3,0.005663156509399414,0.00026726722717285156,0.22467994689941406,0.014851808547973633,0.024033308029174805,0.00099945068359375,6.413459777832031e-05,0.0002689361572265625,0.040219783782958984,7.891654968261719e-05,0.0014715194702148438,0.04806184768676758
4,0.0048618316650390625,0.0004265308380126953,0.22467994689941406,0.0031409263610839844,0.023172616958618164,0.0011782646179199219,4.124641418457031e-05,0.00015997886657714844,0.027694225311279297,4.7206878662109375e-05,0.0009846687316894531,0.034239768981933594
5,0.004363536834716797,0.00019550323486328125,0.22467994689941406,0.002199411392211914,0.015326499938964844,0.0011866092681884766,3.814697265625e-05,0.00016951560974121094,0.01892232894897461,4.5299530029296875e-05,0.0009996891021728516,0.02475452423095703
6,0.004720926284790039,0.0002338886260986328,0.22467994689941406,0.001920938491821289,0.0152130126953125,0.0011582374572753906,4.076957702636719e-05,0.00015401840209960938,0.018488168716430664,4.839897155761719e-05,0.0010273456573486328,0.024758577346801758
7,0.004780769348144531,0.00026035308837890625,0.22467994689941406,0.002366781234741211,0.019092559814453125,0.001190185546875,3.504753112792969e-05,0.0001437664031982422,0.022829532623291016,5.6743621826171875e-05,0.0009822845458984375,0.029150962829589844
8,0.004245281219482422,0.0001957416534423828,0.22467994689941406,0.0018200874328613281,0.014379739761352539,0.0012052059173583984,4.4345855712890625e-05,0.00015592575073242188,0.017606496810913086,4.9591064453125e-05,0.0009214878082275391,0.02329254150390625
9,0.0039823055267333984,0.00023484230041503906,0.22467994689941406,0.002520322799682617,0.015262603759765625,0.0011878013610839844,5.316734313964844e-05,0.0001575946807861328,0.019182443618774414,5.14984130859375e-05,0.0009732246398925781,0.024663209915161133
10,0.004649639129638672,0.00019407272338867188,0.22467994689941406,0.0021500587463378906,0.017811298370361328,0.0011975765228271484,4.744529724121094e-05,0.00014281272888183594,0.021349668502807617,5.555152893066406e-05,0.0010347366333007812,0.02751779556274414
11,0.004505634307861328,0.0001914501190185547,0.22467994689941406,0.002229928970336914,0.015149116516113281,0.0011782646179199219,4.0531158447265625e-05,0.00015997886657714844,0.01875901222229004,5.054473876953125e-05,0.001005411148071289,0.024765729904174805
12,0.004190683364868164,0.00020003318786621094,0.22467994689941406,0.0021746158599853516,0.018549203872680664,0.0012087821960449219,3.814697265625e-05,0.0001430511474609375,0.02211475372314453,4.553794860839844e-05,0.0009224414825439453,0.02770829200744629
13,0.00443577766418457,0.00022912025451660156,0.22467994689941406,0.002065420150756836,0.014330863952636719,0.001146554946899414,4.076957702636719e-05,0.00014162063598632812,0.01772618293762207,4.506111145019531e-05,0.001470327377319336,0.024126529693603516
14,0.004666566848754883,0.0002586841583251953,0.22467994689941406,0.0021657943725585938,0.014983177185058594,0.0011749267578125,4.482269287109375e-05,0.0001461505889892578,0.018516063690185547,4.482269287109375e-05,0.0009319782257080078,0.02465224266052246
15,0.004159450531005859,0.000263214111328125,0.22467994689941406,0.0020928382873535156,0.015131473541259766,0.0011873245239257812,4.172325134277344e-05,0.0001423358917236328,0.018596649169921875,4.696846008300781e-05,0.0009434223175048828,0.024251461029052734
16,0.0040209293365478516,0.00021767616271972656,0.22467994689941406,0.0021932125091552734,0.01498556137084961,0.0011947154998779297,4.553794860839844e-05,0.0001571178436279297,0.01857733726501465,4.76837158203125e-05,0.0009167194366455078,0.02402210235595703
17,0.004555463790893555,0.0003371238708496094,0.22467994689941406,0.0023584365844726562,0.017531394958496094,0.001168966293334961,4.076957702636719e-05,0.0001475811004638672,0.021248340606689453,5.269050598144531e-05,0.0009942054748535156,0.027441978454589844
18,0.004357576370239258,0.00026702880859375,0.22467994689941406,0.00213623046875,0.014871597290039062,0.0012404918670654297,4.649162292480469e-05,0.0001823902130126953,0.018479585647583008,6.222724914550781e-05,0.001131296157836914,0.0245969295501709
19,0.004965543746948242,0.00024127960205078125,0.22467994689941406,0.002018451690673828,0.014766454696655273,0.0011532306671142578,4.57763671875e-05,0.0003094673156738281,0.018294095993041992,4.57763671875e-05,0.0009653568267822266,0.02474689483642578
20,0.00371551513671875,0.00023794174194335938,0.22467994689941406,0.0022013187408447266,0.014525890350341797,0.0011615753173828125,4.696846008300781e-05,0.0001316070556640625,0.018068313598632812,5.245208740234375e-05,0.0010585784912109375,0.023427248001098633
21,0.0045909881591796875,0.00028061866760253906,0.22467994689941406,0.0019266605377197266,0.014363288879394531,0.0011429786682128906,4.57763671875e-05,0.0001373291015625,0.017616748809814453,4.5299530029296875e-05,0.0009076595306396484,0.02366161346435547
22,0.004612445831298828,0.0002536773681640625,0.22467994689941406,0.002171039581298828,0.014389276504516602,0.001199483871459961,4.1484832763671875e-05,0.00015592575073242188,0.017958641052246094,4.7206878662109375e-05,0.0009908676147460938,0.024117469787597656
23,0.004553318023681641,0.00020837783813476562,0.22467994689941406,0.0019254684448242188,0.014332771301269531,0.0011372566223144531,4.0531158447265625e-05,0.00014734268188476562,0.01758432388305664,4.8160552978515625e-05,0.0009617805480957031,0.02358222007751465
24,0.003618001937866211,0.00021767616271972656,0.22467994689941406,0.0021479129791259766,0.01439523696899414,0.001199483871459961,3.8623809814453125e-05,0.00014972686767578125,0.017932415008544922,5.173683166503906e-05,0.0009591579437255859,0.023042917251586914
25,0.0035746097564697266,0.00021076202392578125,0.22467994689941406,0.0020303726196289062,0.014461040496826172,0.001219034194946289,3.933906555175781e-05,0.00016689300537109375,0.017917633056640625,6.175041198730469e-05,0.0014553070068359375,0.02347707748413086
26,0.004073143005371094,0.00023674964904785156,0.22467994689941406,0.002238750457763672,0.01446223258972168,0.0011849403381347656,4.458427429199219e-05,0.00016045570373535156,0.01809215545654297,5.507469177246094e-05,0.0009546279907226562,0.02365255355834961
27,0.004756450653076172,0.00023603439331054688,0.22467994689941406,0.00202178955078125,0.014442920684814453,0.0011599063873291016,4.1961669921875e-05,0.0001456737518310547,0.017813444137573242,4.6253204345703125e-05,0.0014939308166503906,0.024576425552368164
28,0.003595590591430664,0.00018310546875,0.22467994689941406,0.0017371177673339844,0.014351606369018555,0.0011560916900634766,4.2438507080078125e-05,0.00015616416931152344,0.017444610595703125,5.340576171875e-05,0.0009877681732177734,0.02250838279724121
29,0.004174470901489258,0.0002524852752685547,0.22467994689941406,0.0019328594207763672,0.014534235000610352,0.0011696815490722656,4.696846008300781e-05,0.00015282630920410156,0.0178377628326416,4.5299530029296875e-05,0.0010247230529785156,0.023577451705932617
30,0.0044269561767578125,0.00021123886108398438,0.22467994689941406,0.0019850730895996094,0.014422178268432617,0.0011823177337646484,4.1484832763671875e-05,0.00014734268188476562,0.01777958869934082,4.673004150390625e-05,0.0009777545928955078,0.02370142936706543
31,0.004183769226074219,0.0002944469451904297,0.22467994689941406,0.002150297164916992,0.014898061752319336,0.0011668205261230469,4.458427429199219e-05,0.00014853477478027344,0.018410205841064453,4.6253204345703125e-05,0.0010766983032226562,0.024295330047607422
