frame_idx,V_raw_onnx,V_filtered_onnx,conf_onnx,t_infer_onnx,t_total_onnx,V_raw_torch,V_filtered_torch,conf_torch,t_infer_torch,t_total_torch,raw_diff,filtered_diff
1,2.3411075501594136,1.1715480089187622,0.1925,182.80696868896484,186.52749061584473,2.3411075501594136,1.1715480089187622,0.1925,70.60575485229492,100.36730766296387,0.0,0.0
2,2.4175257608126497,1.5901743173599243,0.1925,14.777183532714844,18.2192325592041,2.4175257608126497,1.5901743173599243,0.1925,12.436151504516602,14.377832412719727,0.0,0.0
3,2.363572262040511,1.7892301082611084,0.19,14.536380767822266,16.997575759887695,2.363572262040511,1.7892301082611084,0.19,12.30001449584961,14.246463775634766,0.0,0.0
4,2.4822556612718856,1.9367951154708862,0.1925,14.223337173461914,16.31331443786621,2.4822556612718856,1.9367951154708862,0.1925,12.416601181030273,14.30654525756836,0.0,0.0
5,2.355734510594308,2.0172202587127686,0.15,13.591766357421875,15.051603317260742,2.355734510594308,2.0172202587127686,0.15,12.293815612792969,14.095067977905273,0.0,0.0
6,2.360872208852217,2.079078197479248,0.1525,14.35542106628418,16.692638397216797,2.360872208852217,2.079078197479248,0.1525,12.392997741699219,14.267444610595703,0.0,0.0
7,2.3522408058136617,2.1277027130126953,0.14,13.916015625,16.008853912353516,2.3522408058136617,2.1277027130126953,0.14,11.605024337768555,13.425111770629883,0.0,0.0
8,2.2236588651952296,2.151322603225708,0.155,13.045072555541992,14.898300170898438,2.2236588651952296,2.151322603225708,0.155,11.52801513671875,13.395309448242188,0.0,0.0
9,2.2438646916706473,2.1744401454925537,0.1575,13.20028305053711,15.745878219604492,2.2438646916706473,2.1744401454925537,0.1575,11.633872985839844,13.404369354248047,0.0,0.0
10,2.530571520235522,2.230701446533203,0.29,12.725830078125,14.421463012695312,2.5196730303164196,2.229337215423584,0.29,11.700630187988281,13.535022735595703,0.01089848991910225,0.0013642311096191406
11,2.459208751198706,2.272559642791748,0.285,13.1683349609375,15.40994644165039,2.459208751198706,2.2712979316711426,0.285,11.626958847045898,13.518333435058594,0.0,0.0012617111206054688
12,2.4182485974135437,2.3054163455963135,0.2875,13.360023498535156,15.52581787109375,2.4182485974135437,2.3042521476745605,0.2875,11.495351791381836,13.35287094116211,0.0,0.0011641979217529297
13,2.413167388757408,2.334441661834717,0.285,13.43393325805664,15.604496002197266,2.4071711897444277,2.33264422416687,0.285,11.510610580444336,13.305425643920898,0.00599619901298043,0.0017974376678466797
14,2.3721860145053224,2.355574131011963,0.285,13.477087020874023,15.697240829467773,2.3721860145053224,2.353914976119995,0.285,11.71255111694336,13.57889175415039,0.0,0.0016591548919677734
15,2.7265706451303386,2.417180061340332,0.41,12.655019760131836,14.19377326965332,2.7265706451303386,2.4156551361083984,0.41,11.531829833984375,13.511896133422852,0.0,0.0015249252319335938
16,2.656808695714664,2.465280771255493,0.4075,13.542890548706055,15.845537185668945,2.652990523882773,2.463423728942871,0.4075,11.698246002197266,13.983488082885742,0.0038181718318908153,0.0018570423126220703
17,2.6888089302333955,2.512892961502075,0.425,13.880729675292969,16.486167907714844,2.6872199575237152,2.510998487472534,0.425,12.662887573242188,16.341209411621094,0.0015889727096802808,0.0018944740295410156
18,2.697750525823134,2.5571322441101074,0.4025,13.43679428100586,15.993595123291016,2.697750525823134,2.555398941040039,0.4025,12.04371452331543,13.906240463256836,0.0,0.0017333030700683594
19,2.72955658107405,2.600862503051758,0.4025,13.30423355102539,15.326499938964844,2.72955658107405,2.59928297996521,0.4025,11.819601058959961,13.662099838256836,0.0,0.0015795230865478516
